3268.800   -0.00624 3268.800   -0.00647 3268.800    0.00272 3268.800   -0.01388 3268.800   -0.00554 3268.800    0.00924 3268.800   -0.00475 3268.800    0.00542 3268.800   -0.00534 3268.800   -0.00129 3268.800   -0.00801 3268.800   -0.00176 3268.800   -0.00095 3268.800    0.00547 3268.800    0.00215 3268.800    0.00456 3268.800   -0.00150 3268.800   -0.00087 3268.800    0.00083 3268.800    0.00213
3268.900    0.00605 3268.900   -0.00011 3268.900    0.00390 3268.900    0.01350 3268.900   -0.00690 3268.900    0.01206 3268.900   -0.00250 3268.900   -0.00050 3268.900   -0.00658 3268.900   -0.00337 3268.900   -0.01221 3268.900    0.00629 3268.900    0.00694 3268.900    0.00395 3268.900    0.00430 3268.900   -0.00364 3268.900    0.00180 3268.900    0.00166 3268.900    0.00099 3268.900    0.00347
3269.000    0.00693 3269.000   -0.01132 3269.000    0.00812 3269.000    0.02613 3269.000    0.00522 3269.000   -0.00778 3269.000    0.00477 3269.000   -0.00941 3269.000   -0.00043 3269.000    0.00026 3269.000   -0.00300 3269.000   -0.00098 3269.000    0.00334 3269.000   -0.00045 3269.000    0.00369 3269.000   -0.00564 3269.000   -0.00179 3269.000    0.00783 3269.000    0.00248 3269.000    0.00272
3269.200    0.01514 3269.200   -0.00458 3269.200    0.00487 3269.200    0.02318 3269.200   -0.00423 3269.200   -0.01482 3269.200    0.00847 3269.200   -0.00496 3269.200   -0.00361 3269.200    0.00383 3269.200    0.00620 3269.200   -0.00644 3269.200    0.00254 3269.200   -0.00327 3269.200    0.00105 3269.200   -0.00603 3269.200   -0.00327 3269.200    0.00302 3269.200   -0.00015 3269.200   -0.00514
3269.300    0.01529 3269.300    0.00108 3269.300    0.01266 3269.300    0.00383 3269.300    0.00205 3269.300   -0.00583 3269.300    0.00392 3269.300    0.00257 3269.300    0.00308 3269.300    0.00164 3269.300    0.00683 3269.300    0.00058 3269.300    0.00366 3269.300   -0.00073 3269.300   -0.00321 3269.300   -0.00015 3269.300    0.00113 3269.300   -0.00098 3269.300   -0.00268 3269.300    0.00421
3269.400    0.02413 3269.400   -0.00272 3269.400    0.00408 3269.400   -0.00817 3269.400    0.01190 3269.400    0.01019 3269.400    0.00889 3269.400   -0.00975 3269.400    0.01172 3269.400    0.00203 3269.400   -0.00819 3269.400    0.00604 3269.400   -0.00185 3269.400   -0.00048 3269.400    0.00336 3269.400    0.00230 3269.400   -0.00105 3269.400    0.00035 3269.400   -0.00228 3269.400   -0.00044
3269.500    0.00114 3269.500   -0.01223 3269.500    0.01144 3269.500   -0.00833 3269.500    0.00939 3269.500    0.01492 3269.500    0.00124 3269.500   -0.00076 3269.500    0.00990 3269.500    0.00361 3269.500   -0.01275 3269.500    0.00485 3269.500   -0.00477 3269.500   -0.00200 3269.500    0.00047 3269.500    0.00765 3269.500    0.00677 3269.500   -0.00117 3269.500    0.00066 3269.500   -0.00035
3269.600    0.00034 3269.600   -0.00324 3269.600    0.00234 3269.600    0.00790 3269.600    0.01472 3269.600   -0.00484 3269.600   -0.00245 3269.600   -0.00084 3269.600    0.00197 3269.600    0.00389 3269.600   -0.00900 3269.600   -0.00057 3269.600   -0.00546 3269.600    0.00371 3269.600    0.00246 3269.600    0.00560 3269.600    0.00558 3269.600    0.00081 3269.600    0.00171 3269.600    0.00373
3269.800    0.00905 3269.800    0.00165 3269.800   -0.00131 3269.800    0.01218 3269.800    0.00854 3269.800   -0.01068 3269.800    0.00269 3269.800    0.00478 3269.800    0.00271 3269.800    0.00068 3269.800    0.00092 3269.800   -0.00513 3269.800    0.00117 3269.800    0.00285 3269.800    0.00265 3269.800   -0.00353 3269.800    0.00010 3269.800   -0.00354 3269.800    0.00064 3269.800    0.00179
3269.900    0.00658 3269.900    0.00721 3269.900    0.00385 3269.900    0.00288 3269.900    0.00527 3269.900    0.00618 3269.900    0.00613 3269.900   -0.01058 3269.900   -0.00216 3269.900   -0.00233 3269.900    0.00719 3269.900   -0.00201 3269.900   -0.00440 3269.900   -0.00331 3269.900   -0.00162 3269.900   -0.00282 3269.900   -0.00105 3269.900    0.00272 3269.900   -0.00615 3269.900   -0.00079
