3278.297    0.66687 3278.297   -0.28680 3277.320    1.28791 3278.102    0.09561 3278.004   -0.68261 3278.199   -0.54737 3278.493    0.44731 3278.102   -0.39353 3278.395    0.15233 3278.884    0.23590 3278.395    0.03932 3278.590   -0.16565 3278.199    1.99897 3278.884   -0.07198 3278.395   -0.23109 3279.568   -1.08270 3278.981   -0.42785 3279.079   -0.87791 3278.786   -0.71709 3279.666   -1.60027
3278.395    1.04536 3278.395    0.03197 3277.417    0.79567 3278.199    0.93647 3278.102   -1.17772 3278.297   -0.59451 3278.591    0.47224 3278.199   -0.10974 3278.493    1.31431 3278.981   -0.33134 3278.493    0.31272 3278.688   -0.28400 3278.297    0.87337 3278.981    0.67571 3278.493   -0.58757 3279.666   -0.88080 3279.079    0.36117 3279.177    0.60801 3278.884    0.42020 3279.763   -0.59515
3278.493    1.12646 3278.493    0.28699 3277.515    1.06072 3278.297    0.89335 3278.199   -1.03626 3278.395   -1.32513 3278.688    0.34762 3278.297   -0.03880 3278.590    1.51639 3279.079   -0.38807 3278.590   -0.73117 3278.786   -0.87574 3278.395    0.74094 3279.079    0.15808 3278.590    0.15780 3279.763    0.09507 3279.177    0.07425 3279.275    1.10331 3278.981    2.05506 3279.861   -1.56304
3278.590    0.88315 3278.590    0.09573 3277.613    1.28791 3278.395    0.26810 3278.297   -0.68261 3278.492   -1.44297 3278.786   -0.02624 3278.395    0.55242 3278.688    1.76900 3279.177    0.00900 3278.688   -1.17856 3278.884   -0.87574 3278.492    1.40306 3279.177    0.27311 3278.688    0.15780 3279.861    0.63348 3279.275    1.40124 3279.372    1.45710 3279.079    2.73032 3279.959   -1.86086
3278.688    0.31542 3278.688   -1.24313 3277.711    1.85587 3278.493   -0.50808 3278.395   -0.06962 3278.590   -1.77293 3278.884    0.24792 3278.493    0.31593 3278.786    0.60702 3279.275   -0.27462 3278.786   -1.65079 3278.981   -0.19523 3278.590    1.46928 3279.275   -0.04322 3278.786   -0.65239 3279.959   -0.40969 3279.373    1.50883 3279.470   -0.20571 3279.177    3.29897 3280.057   -3.38715
3278.786    0.04507 3278.786   -1.97632 3277.808    0.49275 3278.590   -1.34894 3278.493    0.11899 3278.688   -1.84364 3278.981   -0.44994 3278.590   -0.67731 3278.884   -0.88335 3279.372   -0.10445 3278.884   -0.83059 3279.079   -0.16565 3278.688    0.07882 3279.372   -0.90594 3278.884   -2.53202 3280.057   -1.35191 3279.470    1.36538 3279.568   -1.90389 3279.275    4.22302 3280.154   -2.86597
3278.884   -0.41453 3278.884   -1.33877 3277.906    0.64421 3278.688   -1.04710 3278.591    0.16614 3278.786   -1.60795 3279.079   -1.04811 3278.688   -0.91379 3278.981   -1.66643 3279.470   -0.33134 3278.981   -0.10981 3279.177   -0.04730 3278.786   -0.88125 3279.470   -1.50984 3278.981   -3.86072 3280.155   -1.55381 3279.568    0.28944 3279.666   -1.16094 3279.373    2.44600 3280.252   -1.07910
3278.981   -0.36046 3278.981   -1.62566 3278.004    0.53062 3278.786   -0.85305 3278.688   -0.11678 3278.884   -1.16015 3279.177   -0.40009 3278.786   -0.29893 3279.079   -1.31278 3279.568   -1.40910 3279.079   -0.15952 3279.275   -0.22482 3278.884   -0.31845 3279.568   -1.30854 3279.079   -2.40239 3280.252   -0.77985 3279.666   -1.10928 3279.763   -0.66563 3279.470    0.49128 3280.350   -0.96742
3279.079   -0.30639 3279.079   -2.48636 3278.102    0.15198 3278.884   -0.93929 3278.786   -0.63546 3278.981   -0.45310 3279.275   -0.64933 3278.884    0.26863 3279.177   -0.63075 3279.666   -0.98367 3279.177    0.01447 3279.372   -1.08285 3278.981    0.64162 3279.666   -0.87718 3279.177   -1.75424 3280.350   -0.10683 3279.763   -1.46793 3279.861   -0.20571 3279.568    0.59790 3280.448   -1.48859
3279.177   -0.19825 3279.177   -1.08374 3278.199    2.42384 3278.981   -1.02554 3278.884   -0.70619 3279.079    0.53678 3279.373   -0.89857 3278.981    0.62336 3279.275    0.10181 3279.763   -1.09712 3279.275    0.53641 3279.470   -1.26037 3279.079    0.04571 3279.763    0.10057 3279.275   -1.85146 3280.448   -0.10683 3279.861   -0.24853 3279.959   -0.27647 3279.666    0.31358 3280.545   -1.82363
